iter	Logloss
0	0.5940426229
1	0.5094080111
2	0.4503163057
3	0.3934601837
4	0.346269491
5	0.3009793866
6	0.2609543668
7	0.2297184686
8	0.2022568767
9	0.180384333
10	0.1603215112
11	0.1452297074
12	0.13112257
13	0.1183249957
14	0.1079274526
15	0.09987717113
16	0.09181669063
17	0.08570322122
18	0.08118676742
19	0.07612557979
20	0.07153963748
21	0.06759984141
22	0.06462082911
23	0.06113234976
24	0.05802638493
25	0.05545194152
26	0.05312668405
27	0.05082818227
28	0.04887577205
29	0.04761274822
30	0.04634791584
31	0.04494549794
32	0.04339928429
33	0.04204223775
34	0.0407271574
35	0.03981047935
36	0.03890910456
37	0.0382031739
38	0.03775567844
39	0.03675533442
40	0.03573030091
41	0.03510623998
42	0.03428823917
43	0.03391369624
44	0.0336844733
45	0.03325025909
46	0.03237285176
47	0.03170124092
48	0.03114037521
49	0.03080537213
50	0.0302931787
51	0.02958010765
52	0.02901342274
53	0.02845142069
54	0.02816915403
55	0.02774474638
56	0.02747752711
57	0.02726395701
58	0.026966454
59	0.02645744285
60	0.02621028345
61	0.02593798193
62	0.02570499738
63	0.02533598302
64	0.02499092874
65	0.02473635229
66	0.02455259621
67	0.02416932066
68	0.02376816297
69	0.02345317535
70	0.02297486082
71	0.02294504885
72	0.02255799336
73	0.02215222074
74	0.02193233266
75	0.021677299
76	0.02136404737
77	0.02116769698
78	0.0208663244
79	0.0205949602
80	0.02014150647
81	0.01983184253
82	0.01956967842
83	0.01927862851
84	0.01901033516
85	0.01880100358
86	0.01857511098
87	0.01845929503
88	0.01815508161
89	0.01789924124
90	0.01780120639
91	0.01759425489
92	0.01739768831
93	0.01716294747
94	0.01688647544
95	0.01674455762
96	0.01652392712
97	0.01629961656
98	0.01613245647
99	0.0160232195
100	0.01588532887
101	0.01575849627
102	0.01558353302
103	0.01547815454
104	0.0152242679
105	0.01513269847
106	0.01503356841
107	0.01489070211
108	0.01474316349
109	0.01462323696
110	0.01453876482
111	0.01434931995
112	0.01424537314
113	0.01408707182
114	0.01389233276
115	0.01376407786
116	0.01367793959
117	0.01349993922
118	0.0134247591
119	0.0133476598
120	0.01329739898
121	0.01320088118
122	0.01305614681
123	0.01298329327
124	0.01282682857
125	0.01253715882
126	0.0125038905
127	0.01235051135
128	0.01222104349
129	0.01207777575
130	0.01199489481
131	0.01191041446
132	0.01180241289
133	0.01162658627
134	0.01151581508
135	0.01137725948
136	0.01131001997
137	0.01121073392
138	0.01115870613
139	0.01109365993
140	0.01103435479
141	0.01097041839
142	0.01090895319
143	0.01087933018
144	0.01083201842
145	0.01078282354
146	0.01056943699
147	0.01047980194
148	0.01042693014
149	0.0103598635
150	0.0102181855
151	0.01016184035
152	0.01010750147
153	0.009922700667
154	0.009874057565
155	0.009822166188
156	0.009793090718
