,rank,team,rank_change,year,previous_cup_wins,won_this_year,Part,W,D,L,Gd,Pts
3960,174,Guinea-Bissau,0,2002,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
3961,159,Cape Verde,0,2002,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
3962,178,Mauritania,0,2002,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
3963,192,Niger,0,2002,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
3964,190,Equatorial Guinea,0,2002,0,0,3.0,6.0,4.0,5.0,-3.0,22.0
3965,103,Namibia,1,2002,0,0,3.0,0.0,2.0,7.0,-14.0,2.0
3966,125,Mauritius,1,2002,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
3967,122,Madagascar,0,2002,0,0,1.0,2.0,2.0,1.0,0.0,8.0
3968,121,Malawi,0,2002,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
3969,119,Sudan,1,2002,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
3970,118,Uganda,1,2002,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
3971,116,Libya,0,2002,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
3972,110,Guinea,1,2002,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
3973,105,Kenya,0,2002,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
3974,127,Burundi,0,2002,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
3975,151,Tanzania,0,2002,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
3976,150,Benin,0,2002,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
3977,143,Botswana,1,2002,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
3978,141,Sierra Leone,0,2002,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
3979,139,Ethiopia,1,2002,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
3980,133,Rwanda,1,2002,0,0,1.0,1.0,1.0,1.0,0.0,4.0
3981,130,Mozambique,1,2002,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
3982,54,Ghana,-2,2002,4,0,23.0,54.0,21.0,27.0,46.0,183.0
3983,132,Rwanda,-1,2002,0,0,1.0,1.0,1.0,1.0,0.0,4.0
3984,138,Botswana,-5,2002,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
3985,140,Ethiopia,1,2002,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
3986,142,Sierra Leone,1,2002,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
3987,129,Burundi,2,2002,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
3988,106,Kenya,1,2002,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
3989,110,Guinea,0,2002,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
3990,116,Libya,0,2002,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
3991,117,Uganda,-1,2002,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
3992,119,Sudan,0,2002,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
3993,120,Madagascar,-2,2002,0,0,1.0,2.0,2.0,1.0,0.0,8.0
3994,121,Malawi,0,2002,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
3995,125,Mozambique,-5,2002,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
3996,150,Benin,0,2002,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
3997,151,Tanzania,0,2002,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
3998,154,Gambia,0,2002,0,0,1.0,3.0,1.0,1.0,1.0,10.0
3999,159,Cape Verde,0,2002,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
4000,174,Guinea-Bissau,0,2002,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
4001,193,Niger,1,2002,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
4002,191,Equatorial Guinea,1,2002,0,0,3.0,6.0,4.0,5.0,-3.0,22.0
4003,104,Namibia,1,2002,0,0,3.0,0.0,2.0,7.0,-14.0,2.0
4004,178,Mauritania,0,2002,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
4005,103,Gabon,-1,2002,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
4006,127,Mauritius,2,2002,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
4007,29,Nigeria,-3,2002,2,0,19.0,53.0,22.0,22.0,46.0,181.0
4008,30,Tunisia,1,2002,0,0,20.0,25.0,29.0,26.0,5.0,104.0
4009,37,South Africa,1,2002,1,0,10.0,16.0,13.0,14.0,3.0,61.0
4010,39,Morocco,0,2002,1,0,18.0,27.0,24.0,19.0,19.0,105.0
4011,40,Egypt,0,2002,4,0,25.0,60.0,20.0,27.0,78.0,200.0
4012,43,Senegal,-2,2002,0,0,16.0,27.0,17.0,23.0,22.0,98.0
4013,46,Ivory Coast,-2,2002,1,0,24.0,44.0,30.0,25.0,42.0,162.0
4014,18,Cameroon,-1,2002,4,1,20.0,45.0,30.0,16.0,55.0,165.0
4015,78,Algeria,1,2002,1,0,19.0,28.0,22.0,27.0,5.0,106.0
4016,77,Liberia,1,2002,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
4017,75,Burkina Faso,-6,2002,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
4018,71,DR Congo,-1,2002,0,0,19.0,20.0,24.0,29.0,-14.0,84.0
4019,69,Togo,0,2002,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
4020,67,Zimbabwe,1,2002,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
4021,66,Zambia,-1,2002,0,0,17.0,26.0,20.0,21.0,12.0,98.0
4022,59,Angola,2,2002,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
4023,57,Ghana,3,2002,4,0,23.0,54.0,21.0,27.0,46.0,183.0
4024,94,Congo,-1,2002,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
4025,86,Mali,-1,2002,0,0,12.0,19.0,19.0,16.0,0.0,76.0
4026,130,Burundi,1,2002,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
4027,127,Mauritius,0,2002,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
4028,97,Congo,3,2002,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
4029,85,Mali,-1,2002,0,0,12.0,19.0,19.0,16.0,0.0,76.0
4030,104,Gabon,1,2002,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
4031,129,Mozambique,4,2002,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
4032,105,Namibia,1,2002,0,0,3.0,0.0,2.0,7.0,-14.0,2.0
4033,122,Malawi,1,2002,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
4034,121,Sudan,2,2002,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
4035,120,Uganda,3,2002,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
4036,117,Madagascar,-3,2002,0,0,1.0,2.0,2.0,1.0,0.0,8.0
4037,116,Libya,0,2002,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
4038,110,Guinea,0,2002,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
4039,106,Kenya,0,2002,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
4040,133,Rwanda,1,2002,0,0,1.0,1.0,1.0,1.0,0.0,4.0
4041,178,Mauritania,0,2002,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
4042,174,Guinea-Bissau,0,2002,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
4043,193,Niger,0,2002,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
4044,191,Equatorial Guinea,0,2002,0,0,3.0,6.0,4.0,5.0,-3.0,22.0
4045,144,Sierra Leone,2,2002,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
4046,139,Botswana,1,2002,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
4047,134,Ethiopia,-6,2002,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
4048,151,Benin,1,2002,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
4049,160,Cape Verde,1,2002,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
4050,154,Gambia,0,2002,0,0,1.0,3.0,1.0,1.0,1.0,10.0
4051,152,Tanzania,1,2002,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
4052,46,Ivory Coast,0,2002,1,0,24.0,44.0,30.0,25.0,42.0,162.0
4053,43,Egypt,3,2002,4,0,25.0,60.0,20.0,27.0,78.0,200.0
4054,42,Senegal,-1,2002,0,0,16.0,27.0,17.0,23.0,22.0,98.0
4055,39,Morocco,0,2002,1,0,18.0,27.0,24.0,19.0,19.0,105.0
4056,37,South Africa,0,2002,1,0,10.0,16.0,13.0,14.0,3.0,61.0
4057,31,Tunisia,1,2002,0,0,20.0,25.0,29.0,26.0,5.0,104.0
4058,27,Nigeria,-2,2002,2,0,19.0,53.0,22.0,22.0,46.0,181.0
4059,52,Ghana,-5,2002,4,0,23.0,54.0,21.0,27.0,46.0,183.0
4060,80,Burkina Faso,5,2002,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
4061,79,Algeria,1,2002,1,0,19.0,28.0,22.0,27.0,5.0,106.0
4062,76,Liberia,-1,2002,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
4063,74,DR Congo,3,2002,0,0,19.0,20.0,24.0,29.0,-14.0,84.0
4064,69,Togo,0,2002,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
4065,66,Zimbabwe,-1,2002,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
4066,65,Zambia,-1,2002,0,0,17.0,26.0,20.0,21.0,12.0,98.0
4067,58,Angola,-1,2002,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
4068,17,Cameroon,-1,2002,4,1,20.0,45.0,30.0,16.0,55.0,165.0
4069,57,Ghana,5,2002,4,0,23.0,54.0,21.0,27.0,46.0,183.0
4070,47,Ivory Coast,1,2002,1,0,24.0,44.0,30.0,25.0,42.0,162.0
4071,32,Senegal,-10,2002,0,0,16.0,27.0,17.0,23.0,22.0,98.0
4072,34,South Africa,-3,2002,1,0,10.0,16.0,13.0,14.0,3.0,61.0
4073,36,Tunisia,5,2002,0,0,20.0,25.0,29.0,26.0,5.0,104.0
4074,40,Morocco,1,2002,1,0,18.0,27.0,24.0,19.0,19.0,105.0
4075,44,Egypt,1,2002,4,0,25.0,60.0,20.0,27.0,78.0,200.0
4076,17,Cameroon,0,2002,4,1,20.0,45.0,30.0,16.0,55.0,165.0
4077,29,Nigeria,2,2002,2,0,19.0,53.0,22.0,22.0,46.0,181.0
4078,60,Angola,2,2002,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
4079,152,Tanzania,0,2002,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
4080,154,Gambia,0,2002,0,0,1.0,3.0,1.0,1.0,1.0,10.0
4081,160,Cape Verde,0,2002,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
4082,136,Botswana,-3,2002,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
4083,149,Benin,-2,2002,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
4084,144,Sierra Leone,0,2002,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
4085,133,Ethiopia,-1,2002,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
4086,191,Equatorial Guinea,0,2002,0,0,3.0,6.0,4.0,5.0,-3.0,22.0
4087,194,Niger,1,2002,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
4088,174,Guinea-Bissau,0,2002,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
4089,179,Mauritania,1,2002,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
4090,132,Rwanda,-1,2002,0,0,1.0,1.0,1.0,1.0,0.0,4.0
4091,86,Mali,1,2002,0,0,12.0,19.0,19.0,16.0,0.0,76.0
4092,79,Algeria,0,2002,1,0,19.0,28.0,22.0,27.0,5.0,106.0
4093,76,DR Congo,2,2002,0,0,19.0,20.0,24.0,29.0,-14.0,84.0
4094,63,Zimbabwe,-3,2002,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
4095,66,Zambia,1,2002,0,0,17.0,26.0,20.0,21.0,12.0,98.0
4096,78,Liberia,2,2002,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
4097,72,Togo,3,2002,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
4098,77,Burkina Faso,-3,2002,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
4099,98,Congo,1,2002,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
4100,114,Malawi,-8,2002,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
4101,118,Libya,2,2002,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
4102,121,Uganda,1,2002,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
4103,122,Sudan,1,2002,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
4104,126,Mozambique,-3,2002,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
4105,128,Mauritius,1,2002,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
4106,129,Burundi,-1,2002,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
4107,119,Madagascar,2,2002,0,0,1.0,2.0,2.0,1.0,0.0,8.0
4108,107,Namibia,2,2002,0,0,3.0,0.0,2.0,7.0,-14.0,2.0
4109,110,Guinea,0,2002,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
4110,106,Gabon,2,2002,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
4111,104,Kenya,-2,2002,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
4112,74,Togo,2,2002,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
4113,67,Zimbabwe,4,2002,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
4114,66,Zambia,0,2002,0,0,17.0,26.0,20.0,21.0,12.0,98.0
4115,64,Angola,4,2002,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
4116,56,Ghana,-1,2002,4,0,23.0,54.0,21.0,27.0,46.0,183.0
4117,79,DR Congo,3,2002,0,0,19.0,20.0,24.0,29.0,-14.0,84.0
4118,101,Congo,3,2002,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
4119,97,Kenya,-7,2002,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
4120,87,Mali,1,2002,0,0,12.0,19.0,19.0,16.0,0.0,76.0
4121,82,Algeria,3,2002,1,0,19.0,28.0,22.0,27.0,5.0,106.0
4122,81,Liberia,3,2002,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
4123,80,Burkina Faso,3,2002,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
4124,17,Cameroon,0,2002,4,1,20.0,45.0,30.0,16.0,55.0,165.0
4125,48,Ivory Coast,1,2002,1,0,24.0,44.0,30.0,25.0,42.0,162.0
4126,44,Egypt,0,2002,4,0,25.0,60.0,20.0,27.0,78.0,200.0
4127,41,Morocco,1,2002,1,0,18.0,27.0,24.0,19.0,19.0,105.0
4128,39,Tunisia,3,2002,0,0,20.0,25.0,29.0,26.0,5.0,104.0
4129,32,South Africa,-2,2002,1,0,10.0,16.0,13.0,14.0,3.0,61.0
4130,29,Senegal,-3,2002,0,0,16.0,27.0,17.0,23.0,22.0,98.0
4131,28,Nigeria,-1,2002,2,0,19.0,53.0,22.0,22.0,46.0,181.0
4132,163,Cape Verde,3,2002,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
4133,180,Mauritania,1,2002,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
4134,196,Niger,2,2002,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
4135,191,Equatorial Guinea,0,2002,0,0,3.0,6.0,4.0,5.0,-3.0,22.0
4136,177,Guinea-Bissau,3,2002,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
4137,122,Madagascar,3,2002,0,0,1.0,2.0,2.0,1.0,0.0,8.0
4138,120,Libya,2,2002,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
4139,119,Sudan,-3,2002,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
4140,128,Mauritius,0,2002,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
4141,114,Uganda,-7,2002,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
4142,112,Guinea,2,2002,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
4143,108,Namibia,1,2002,0,0,3.0,0.0,2.0,7.0,-14.0,2.0
4144,154,Gambia,0,2002,0,0,1.0,3.0,1.0,1.0,1.0,10.0
4145,106,Malawi,-8,2002,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
4146,129,Mozambique,3,2002,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
4147,107,Gabon,1,2002,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
4148,150,Benin,1,2002,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
4149,146,Tanzania,-6,2002,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
4150,144,Sierra Leone,0,2002,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
4151,137,Botswana,1,2002,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
4152,134,Ethiopia,1,2002,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
4153,133,Burundi,4,2002,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
4154,132,Rwanda,0,2002,0,0,1.0,1.0,1.0,1.0,0.0,4.0
4155,79,Togo,5,2002,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
4156,85,Liberia,4,2002,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
4157,91,Kenya,-6,2002,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
4158,88,Mali,1,2002,0,0,12.0,19.0,19.0,16.0,0.0,76.0
4159,96,Malawi,-10,2002,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
4160,65,Zambia,-1,2002,0,0,17.0,26.0,20.0,21.0,12.0,98.0
4161,74,Algeria,-8,2002,1,0,19.0,28.0,22.0,27.0,5.0,106.0
4162,60,Zimbabwe,-7,2002,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
4163,75,Burkina Faso,-5,2002,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
4164,61,Ghana,5,2002,4,0,23.0,54.0,21.0,27.0,46.0,183.0
4165,73,DR Congo,-6,2002,0,0,19.0,20.0,24.0,29.0,-14.0,84.0
4166,62,Angola,-2,2002,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
4167,130,Mauritius,2,2002,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
4168,131,Rwanda,-1,2002,0,0,1.0,1.0,1.0,1.0,0.0,4.0
4169,132,Botswana,-5,2002,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
4170,135,Ethiopia,1,2002,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
4171,137,Burundi,4,2002,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
4172,144,Sierra Leone,0,2002,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
4173,145,Benin,-5,2002,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
4174,127,Mozambique,-2,2002,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
4175,102,Congo,1,2002,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
4176,105,Libya,-15,2002,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
4177,108,Uganda,-6,2002,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
4178,110,Gabon,3,2002,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
4179,111,Guinea,-1,2002,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
4180,112,Madagascar,-10,2002,0,0,1.0,2.0,2.0,1.0,0.0,8.0
4181,117,Sudan,-2,2002,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
4182,113,Namibia,5,2002,0,0,3.0,0.0,2.0,7.0,-14.0,2.0
4183,30,Nigeria,2,2002,2,0,19.0,53.0,22.0,22.0,46.0,181.0
4184,32,Senegal,3,2002,0,0,16.0,27.0,17.0,23.0,22.0,98.0
4185,33,South Africa,1,2002,1,0,10.0,16.0,13.0,14.0,3.0,61.0
4186,36,Morocco,-5,2002,1,0,18.0,27.0,24.0,19.0,19.0,105.0
4187,39,Tunisia,0,2002,0,0,20.0,25.0,29.0,26.0,5.0,104.0
4188,41,Egypt,-3,2002,4,0,25.0,60.0,20.0,27.0,78.0,200.0
4189,150,Gambia,-4,2002,0,0,1.0,3.0,1.0,1.0,1.0,10.0
4190,15,Cameroon,-2,2002,4,1,20.0,45.0,30.0,16.0,55.0,165.0
4191,49,Ivory Coast,1,2002,1,0,24.0,44.0,30.0,25.0,42.0,162.0
4192,193,Equatorial Guinea,2,2002,0,0,3.0,6.0,4.0,5.0,-3.0,22.0
4193,156,Cape Verde,-7,2002,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
4194,187,Niger,-9,2002,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
4195,181,Mauritania,1,2002,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
4196,177,Guinea-Bissau,0,2002,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
4197,149,Tanzania,3,2002,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
4198,131,Rwanda,0,2002,0,0,1.0,1.0,1.0,1.0,0.0,4.0
4199,132,Ethiopia,-3,2002,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
4200,134,Burundi,-3,2002,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
4201,136,Botswana,4,2002,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
4202,140,Benin,-5,2002,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
4203,141,Sierra Leone,-3,2002,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
4204,143,Gambia,-7,2002,0,0,1.0,3.0,1.0,1.0,1.0,10.0
4205,150,Tanzania,1,2002,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
4206,128,Mauritius,-2,2002,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
4207,127,Mozambique,0,2002,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
4208,106,Sudan,-11,2002,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
4209,108,Uganda,0,2002,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
4210,115,Gabon,5,2002,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
4211,117,Guinea,6,2002,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
4212,119,Namibia,6,2002,0,0,3.0,0.0,2.0,7.0,-14.0,2.0
4213,104,Libya,-1,2002,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
4214,184,Niger,-3,2002,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
4215,191,Equatorial Guinea,-2,2002,0,0,3.0,6.0,4.0,5.0,-3.0,22.0
4216,178,Mauritania,-3,2002,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
4217,177,Guinea-Bissau,0,2002,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
4218,154,Cape Verde,-2,2002,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
4219,101,Madagascar,-11,2002,0,0,1.0,2.0,2.0,1.0,0.0,8.0
4220,19,Cameroon,4,2002,4,1,20.0,45.0,30.0,16.0,55.0,165.0
4221,40,Egypt,-1,2002,4,0,25.0,60.0,20.0,27.0,78.0,200.0
4222,39,Tunisia,0,2002,0,0,20.0,25.0,29.0,26.0,5.0,104.0
4223,31,Senegal,-1,2002,0,0,16.0,27.0,17.0,23.0,22.0,98.0
4224,30,South Africa,-3,2002,1,0,10.0,16.0,13.0,14.0,3.0,61.0
4225,28,Nigeria,-2,2002,2,0,19.0,53.0,22.0,22.0,46.0,181.0
4226,37,Morocco,1,2002,1,0,18.0,27.0,24.0,19.0,19.0,105.0
4227,82,Liberia,-3,2002,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
4228,83,Mali,-5,2002,0,0,12.0,19.0,19.0,16.0,0.0,76.0
4229,90,Kenya,-1,2002,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
4230,97,Congo,-5,2002,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
4231,100,Malawi,4,2002,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
4232,76,Togo,-3,2002,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
4233,57,Zimbabwe,-3,2002,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
4234,58,Ivory Coast,9,2002,1,0,24.0,44.0,30.0,25.0,42.0,162.0
4235,62,Zambia,-3,2002,0,0,17.0,26.0,20.0,21.0,12.0,98.0
4236,59,Ghana,-2,2002,4,0,23.0,54.0,21.0,27.0,46.0,183.0
4237,73,Burkina Faso,-2,2002,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
4238,68,DR Congo,-5,2002,0,0,19.0,20.0,24.0,29.0,-14.0,84.0
4239,66,Angola,4,2002,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
4240,69,Algeria,-5,2002,1,0,19.0,28.0,22.0,27.0,5.0,106.0
4241,35,Morocco,-2,2002,1,0,18.0,27.0,24.0,19.0,19.0,105.0
4242,31,South Africa,1,2002,1,0,10.0,16.0,13.0,14.0,3.0,61.0
4243,27,Nigeria,-1,2002,2,0,19.0,53.0,22.0,22.0,46.0,181.0
4244,29,Senegal,-2,2002,0,0,16.0,27.0,17.0,23.0,22.0,98.0
4245,39,Tunisia,0,2002,0,0,20.0,25.0,29.0,26.0,5.0,104.0
4246,55,Zimbabwe,-2,2002,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
4247,40,Egypt,0,2002,4,0,25.0,60.0,20.0,27.0,78.0,200.0
4248,190,Equatorial Guinea,-1,2002,0,0,3.0,6.0,4.0,5.0,-3.0,22.0
4249,182,Guinea-Bissau,5,2002,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
4250,17,Cameroon,-2,2002,4,1,20.0,45.0,30.0,16.0,55.0,165.0
4251,59,Ghana,0,2002,4,0,23.0,54.0,21.0,27.0,46.0,183.0
4252,145,Benin,5,2002,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
4253,144,Gambia,1,2002,0,0,1.0,3.0,1.0,1.0,1.0,10.0
4254,137,Burundi,3,2002,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
4255,136,Botswana,0,2002,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
4256,131,Ethiopia,-1,2002,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
4257,130,Rwanda,-1,2002,0,0,1.0,1.0,1.0,1.0,0.0,4.0
4258,129,Mauritius,1,2002,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
4259,126,Mozambique,-1,2002,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
4260,152,Tanzania,2,2002,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
4261,179,Mauritania,1,2002,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
4262,155,Cape Verde,1,2002,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
4263,121,Namibia,2,2002,0,0,3.0,0.0,2.0,7.0,-14.0,2.0
4264,86,Kenya,-4,2002,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
4265,83,Liberia,1,2002,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
4266,78,Mali,-5,2002,0,0,12.0,19.0,19.0,16.0,0.0,76.0
4267,76,Togo,0,2002,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
4268,73,Burkina Faso,0,2002,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
4269,69,Angola,3,2002,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
4270,65,Algeria,-4,2002,1,0,19.0,28.0,22.0,27.0,5.0,106.0
4271,64,DR Congo,-4,2002,0,0,19.0,20.0,24.0,29.0,-14.0,84.0
