,rank,team,rank_change,year,previous_cup_wins,won_this_year,Part,W,D,L,Gd,Pts
72,99,Liberia,15,1993,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
73,96,Burundi,-4,1993,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
74,95,Ethiopia,10,1993,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
75,93,Angola,-9,1993,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
76,91,Tanzania,11,1993,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
77,88,Kenya,12,1993,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
78,142,Mauritania,8,1993,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
79,143,Cape Verde,8,1993,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
80,51,Gabon,-13,1993,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
81,47,Zimbabwe,-3,1993,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
82,42,Ghana,-6,1993,4,0,23.0,54.0,21.0,27.0,46.0,183.0
83,57,Senegal,-1,1993,0,0,16.0,27.0,17.0,23.0,22.0,98.0
84,72,Kenya,-16,1993,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
85,70,Mali,-4,1993,0,0,12.0,19.0,19.0,16.0,0.0,76.0
86,69,DR Congo,-2,1993,1,0,19.0,20.0,24.0,29.0,-14.0,84.0
87,68,Malawi,0,1993,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
88,60,Guinea,-5,1993,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
89,18,Nigeria,1,1993,1,0,19.0,53.0,22.0,22.0,46.0,181.0
90,34,Tunisia,3,1993,0,0,20.0,25.0,29.0,26.0,5.0,104.0
91,32,Morocco,-1,1993,1,0,18.0,27.0,24.0,19.0,19.0,105.0
92,31,Ivory Coast,2,1993,1,0,24.0,44.0,30.0,25.0,42.0,162.0
93,30,Algeria,-4,1993,1,0,19.0,28.0,22.0,27.0,5.0,106.0
94,27,Zambia,2,1993,0,0,17.0,26.0,20.0,21.0,12.0,98.0
95,25,Egypt,-1,1993,3,0,25.0,60.0,20.0,27.0,78.0,200.0
